model,area,label,train_seconds,val_MAE,val_RMSE,val_MAPE_percent,val_sMAPE_percent,notes,param.order,param.daily_terms,param.weekly_terms,param.seq_len,param.hidden,param.num_layers,param.max_epochs,param.filters,param.dilations
sarima,5161,sarima.S0_baseline,1.23,101.0329,153.5473,7.6215,7.6474,"Baseline: ARMA(1,1) plus 3 daily + 2 weekly harmonics. Smallest reasonable Fourier-ARIMA.","(1, 0, 1)",3.0,2.0,,,,,,
sarima,5161,sarima.S1_more_arma,6.42,100.6107,152.8272,7.5971,7.6236,"Increase ARMA order to (2,0,2) following PACF spikes at lags 1-2.","(2, 0, 2)",3.0,2.0,,,,,,
sarima,5161,sarima.S2_more_daily,7.427,100.0423,151.563,7.5895,7.6134,Add one more daily Fourier pair (K=4): the morning ramp around 07:00 and the late-night trough are sharp and warrant a higher harmonic.,"(2, 0, 2)",4.0,2.0,,,,,,
sarima,5161,sarima.S3_full,9.126,100.1743,151.6991,7.5854,7.6101,"Final selected configuration: ARMA(2,2) + 4 daily + 3 weekly harmonics. Adds one more weekly Fourier pair to better capture weekday vs weekend amplitude differences observed in EDA.","(2, 0, 2)",4.0,3.0,,,,,,
lstm,5161,lstm.L0_baseline,6.254,115.9178,165.2637,11.9251,11.3658,"Baseline: half-day context (72 steps), 1 layer, 32 hidden. Cheapest sensible LSTM.",,,,72.0,32.0,1.0,8.0,,
lstm,5161,lstm.L1_full_day,10.811,116.593,167.3669,11.6466,11.4585,Extend context to one full day (144 steps) to give the model a complete daily cycle as input.,,,,144.0,32.0,1.0,8.0,,
lstm,5161,lstm.L2_deeper,18.775,142.0577,200.8329,14.3264,13.6647,"Increase capacity: 2 layers, 48 hidden, fewer epochs. Tests whether the prior gap to SARIMA is capacity-limited.",,,,144.0,48.0,2.0,5.0,,
lstm,5161,lstm.L3_longer_history,21.796,115.7807,167.6031,11.2704,11.2151,Doubled history (288 = two days). Tests whether the LSTM benefits from seeing the previous-day pattern explicitly.,,,,288.0,32.0,1.0,8.0,,
cnn,5161,cnn.C0_baseline,5.481,336.5616,552.0541,22.1394,26.9724,"Baseline TCN: small filters (8), 4 dilation levels (receptive field up to 30 steps). One-day input.",,,,144.0,,,5.0,8.0,"[1, 2, 4, 8]"
cnn,5161,cnn.C1_wider_filters,10.034,162.8948,239.8939,15.0132,16.7382,Double filters to 16. Baseline was under-parameterized; wider channels typically improve TCN expressivity.,,,,144.0,,,5.0,16.0,"[1, 2, 4, 8]"
cnn,5161,cnn.C2_longer_receptive,19.883,203.5272,316.1335,18.9018,22.1876,Extend receptive field with one more dilation level (16 -> RF ~62 steps) and longer input (288 = two days). Wider history without bumping capacity too far.,,,,288.0,,,6.0,12.0,"[1, 2, 4, 8, 16]"
